date,city,category,cpi
2016-07-01,Ahmedabad,Food and Beverages,108.49
2016-08-01,Ahmedabad,Food and Beverages,108.24
2016-09-01,Ahmedabad,Food and Beverages,110.01
2016-10-01,Ahmedabad,Food and Beverages,112.08
2016-11-01,Ahmedabad,Food and Beverages,112.14
2016-12-01,Ahmedabad,Food and Beverages,110.77
2017-01-01,Ahmedabad,Food and Beverages,109.09
2017-02-01,Ahmedabad,Food and Beverages,108.83
2017-03-01,Ahmedabad,Food and Beverages,110.39
2017-04-01,Ahmedabad,Food and Beverages,112.62
2017-05-01,Ahmedabad,Food and Beverages,115.09
2017-06-01,Ahmedabad,Food and Beverages,115.35
2017-07-01,Ahmedabad,Food and Beverages,115.55
2017-08-01,Ahmedabad,Food and Beverages,115.32
2017-09-01,Ahmedabad,Food and Beverages,115.99
2017-10-01,Ahmedabad,Food and Beverages,116.47
2017-11-01,Ahmedabad,Food and Beverages,117.32
2017-12-01,Ahmedabad,Food and Beverages,118.46
2018-01-01,Ahmedabad,Food and Beverages,119.28
2018-02-01,Ahmedabad,Food and Beverages,119.59
2018-03-01,Ahmedabad,Food and Beverages,120.02
2018-04-01,Ahmedabad,Food and Beverages,120.74
2018-05-01,Ahmedabad,Food and Beverages,120.19
2018-06-01,Ahmedabad,Food and Beverages,121.09
2018-07-01,Ahmedabad,Food and Beverages,123.74
2018-08-01,Ahmedabad,Food and Beverages,124.63
2018-09-01,Ahmedabad,Food and Beverages,124.27
2018-10-01,Ahmedabad,Food and Beverages,125.48
2018-11-01,Ahmedabad,Food and Beverages,126.97
2018-12-01,Ahmedabad,Food and Beverages,128.02
2019-01-01,Ahmedabad,Food and Beverages,128.78
2019-02-01,Ahmedabad,Food and Beverages,128.68
2019-03-01,Ahmedabad,Food and Beverages,128.73
2019-04-01,Ahmedabad,Food and Beverages,129.87
2019-05-01,Ahmedabad,Food and Beverages,131.95
2019-06-01,Ahmedabad,Food and Beverages,134.03
2019-07-01,Ahmedabad,Food and Beverages,134.3
2019-08-01,Ahmedabad,Food and Beverages,135.43
2019-09-01,Ahmedabad,Food and Beverages,135.45
2019-10-01,Ahmedabad,Food and Beverages,137.26
2019-11-01,Ahmedabad,Food and Beverages,138.43
2019-12-01,Ahmedabad,Food and Beverages,139.57
2020-01-01,Ahmedabad,Food and Beverages,139.53
2020-02-01,Ahmedabad,Food and Beverages,139.55
2020-03-01,Ahmedabad,Food and Beverages,141.66
2020-04-01,Ahmedabad,Food and Beverages,140.93
2020-05-01,Ahmedabad,Food and Beverages,141.88
2020-06-01,Ahmedabad,Food and Beverages,142.48
2020-07-01,Ahmedabad,Food and Beverages,142.84
2020-08-01,Ahmedabad,Food and Beverages,142.82
2020-09-01,Ahmedabad,Food and Beverages,143.53
2020-10-01,Ahmedabad,Food and Beverages,143.39
2020-11-01,Ahmedabad,Food and Beverages,143.9
2020-12-01,Ahmedabad,Food and Beverages,145.4
2021-01-01,Ahmedabad,Food and Beverages,146.69
2021-02-01,Ahmedabad,Food and Beverages,149.41
2021-03-01,Ahmedabad,Food and Beverages,148.19
2021-04-01,Ahmedabad,Food and Beverages,148.66
2021-05-01,Ahmedabad,Food and Beverages,149.67
2021-06-01,Ahmedabad,Food and Beverages,151.23
2021-07-01,Ahmedabad,Food and Beverages,151.86
2021-08-01,Ahmedabad,Food and Beverages,151.86
2021-09-01,Ahmedabad,Food and Beverages,153.02
2021-10-01,Ahmedabad,Food and Beverages,153.11
2021-11-01,Ahmedabad,Food and Beverages,152.66
2021-12-01,Ahmedabad,Food and Beverages,152.95
2022-01-01,Ahmedabad,Food and Beverages,154.96
2022-02-01,Ahmedabad,Food and Beverages,157.89
2022-03-01,Ahmedabad,Food and Beverages,159.14
2022-04-01,Ahmedabad,Food and Beverages,158.24
2022-05-01,Ahmedabad,Food and Beverages,158.42
2022-06-01,Ahmedabad,Food and Beverages,157.9
2022-07-01,Ahmedabad,Food and Beverages,157.38
2022-08-01,Ahmedabad,Food and Beverages,157.22
2022-09-01,Ahmedabad,Food and Beverages,160.04
2022-10-01,Ahmedabad,Food and Beverages,160.7
2022-11-01,Ahmedabad,Food and Beverages,159.98
2022-12-01,Ahmedabad,Food and Beverages,158.89
2023-01-01,Ahmedabad,Food and Beverages,158.64
2023-02-01,Ahmedabad,Food and Beverages,158.93
2023-03-01,Ahmedabad,Food and Beverages,161.4
2023-04-01,Ahmedabad,Food and Beverages,162.21
2023-05-01,Ahmedabad,Food and Beverages,161.57
2023-06-01,Ahmedabad,Food and Beverages,162.01
2023-07-01,Ahmedabad,Food and Beverages,163.64
2023-08-01,Ahmedabad,Food and Beverages,166.83
2023-09-01,Ahmedabad,Food and Beverages,168.47
2023-10-01,Ahmedabad,Food and Beverages,168.36
2023-11-01,Ahmedabad,Food and Beverages,168.16
2023-12-01,Ahmedabad,Food and Beverages,170.58
2024-01-01,Ahmedabad,Food and Beverages,173.07
2024-02-01,Ahmedabad,Food and Beverages,177.55
2024-03-01,Ahmedabad,Food and Beverages,178.14
2024-04-01,Ahmedabad,Food and Beverages,178.93
2024-05-01,Ahmedabad,Food and Beverages,176.82
2024-06-01,Ahmedabad,Food and Beverages,177.43
2024-07-01,Ahmedabad,Food and Beverages,177.35
2024-08-01,Ahmedabad,Food and Beverages,178.16
2024-09-01,Ahmedabad,Food and Beverages,179.95
2024-10-01,Ahmedabad,Food and Beverages,182.73
2024-11-01,Ahmedabad,Food and Beverages,186.48
2024-12-01,Ahmedabad,Food and Beverages,186.81
2025-01-01,Ahmedabad,Food and Beverages,187.72
2025-02-01,Ahmedabad,Food and Beverages,187.46
2025-03-01,Ahmedabad,Food and Beverages,188.0
2025-04-01,Ahmedabad,Food and Beverages,190.34
2025-05-01,Ahmedabad,Food and Beverages,189.8
2025-06-01,Ahmedabad,Food and Beverages,190.89
2025-07-01,Ahmedabad,Food and Beverages,192.18
2025-08-01,Ahmedabad,Food and Beverages,193.08
2025-09-01,Ahmedabad,Food and Beverages,193.37
2025-10-01,Ahmedabad,Food and Beverages,194.88
2025-11-01,Ahmedabad,Food and Beverages,198.23
2025-12-01,Ahmedabad,Food and Beverages,201.25
2015-01-01,Ahmedabad,Fuel and Light,100.0
2015-02-01,Ahmedabad,Fuel and Light,102.14
2015-03-01,Ahmedabad,Fuel and Light,103.29
2015-04-01,Ahmedabad,Fuel and Light,101.98
2015-05-01,Ahmedabad,Fuel and Light,104.22
2015-06-01,Ahmedabad,Fuel and Light,105.74
2015-07-01,Ahmedabad,Fuel and Light,106.01
2015-08-01,Ahmedabad,Fuel and Light,106.33
2015-09-01,Ahmedabad,Fuel and Light,106.82
2015-10-01,Ahmedabad,Fuel and Light,107.06
2015-11-01,Ahmedabad,Fuel and Light,107.41
2015-12-01,Ahmedabad,Fuel and Light,109.46
2016-01-01,Ahmedabad,Fuel and Light,111.73
2016-02-01,Ahmedabad,Fuel and Light,111.75
2016-03-01,Ahmedabad,Fuel and Light,114.05
2016-04-01,Ahmedabad,Fuel and Light,114.56
2016-05-01,Ahmedabad,Fuel and Light,113.8
2016-06-01,Ahmedabad,Fuel and Light,113.32
2016-07-01,Ahmedabad,Fuel and Light,116.3
2016-08-01,Ahmedabad,Fuel and Light,119.12
2016-09-01,Ahmedabad,Fuel and Light,119.24
2016-10-01,Ahmedabad,Fuel and Light,120.28
2016-11-01,Ahmedabad,Fuel and Light,119.7
2016-12-01,Ahmedabad,Fuel and Light,119.5
2017-01-01,Ahmedabad,Fuel and Light,119.61
2017-02-01,Ahmedabad,Fuel and Light,117.0
2017-03-01,Ahmedabad,Fuel and Light,117.66
2017-04-01,Ahmedabad,Fuel and Light,117.44
2017-05-01,Ahmedabad,Fuel and Light,116.61
2017-06-01,Ahmedabad,Fuel and Light,120.49
2017-07-01,Ahmedabad,Fuel and Light,121.05
2017-08-01,Ahmedabad,Fuel and Light,121.54
2017-09-01,Ahmedabad,Fuel and Light,120.91
2017-10-01,Ahmedabad,Fuel and Light,121.66
2017-11-01,Ahmedabad,Fuel and Light,119.22
2017-12-01,Ahmedabad,Fuel and Light,118.14
2018-01-01,Ahmedabad,Fuel and Light,118.27
2018-02-01,Ahmedabad,Fuel and Light,119.07
2018-03-01,Ahmedabad,Fuel and Light,118.6
2018-04-01,Ahmedabad,Fuel and Light,119.81
2018-05-01,Ahmedabad,Fuel and Light,121.26
2018-06-01,Ahmedabad,Fuel and Light,119.9
2018-07-01,Ahmedabad,Fuel and Light,120.05
2018-08-01,Ahmedabad,Fuel and Light,120.48
2018-09-01,Ahmedabad,Fuel and Light,122.34
2018-10-01,Ahmedabad,Fuel and Light,124.06
2018-11-01,Ahmedabad,Fuel and Light,124.88
2018-12-01,Ahmedabad,Fuel and Light,124.54
2019-01-01,Ahmedabad,Fuel and Light,123.48
2019-02-01,Ahmedabad,Fuel and Light,124.77
2019-03-01,Ahmedabad,Fuel and Light,125.14
2019-04-01,Ahmedabad,Fuel and Light,126.38
2019-05-01,Ahmedabad,Fuel and Light,126.05
2019-06-01,Ahmedabad,Fuel and Light,128.88
2019-07-01,Ahmedabad,Fuel and Light,132.84
2019-08-01,Ahmedabad,Fuel and Light,134.74
2019-09-01,Ahmedabad,Fuel and Light,133.26
2019-10-01,Ahmedabad,Fuel and Light,133.0
2019-11-01,Ahmedabad,Fuel and Light,135.09
2019-12-01,Ahmedabad,Fuel and Light,135.09
2020-01-01,Ahmedabad,Fuel and Light,134.67
2020-02-01,Ahmedabad,Fuel and Light,134.35
2020-03-01,Ahmedabad,Fuel and Light,136.98
2020-04-01,Ahmedabad,Fuel and Light,138.58
2020-05-01,Ahmedabad,Fuel and Light,139.52
2020-06-01,Ahmedabad,Fuel and Light,141.46
2020-07-01,Ahmedabad,Fuel and Light,141.01
2020-08-01,Ahmedabad,Fuel and Light,140.77
2020-09-01,Ahmedabad,Fuel and Light,143.88
2020-10-01,Ahmedabad,Fuel and Light,141.71
2020-11-01,Ahmedabad,Fuel and Light,142.25
2020-12-01,Ahmedabad,Fuel and Light,141.52
2021-01-01,Ahmedabad,Fuel and Light,138.01
2021-02-01,Ahmedabad,Fuel and Light,136.57
2021-03-01,Ahmedabad,Fuel and Light,139.37
2021-04-01,Ahmedabad,Fuel and Light,139.25
2021-05-01,Ahmedabad,Fuel and Light,138.32
2021-06-01,Ahmedabad,Fuel and Light,138.6
2021-07-01,Ahmedabad,Fuel and Light,140.65
2021-08-01,Ahmedabad,Fuel and Light,140.63
2021-09-01,Ahmedabad,Fuel and Light,139.54
2021-10-01,Ahmedabad,Fuel and Light,138.67
2021-11-01,Ahmedabad,Fuel and Light,140.29
2021-12-01,Ahmedabad,Fuel and Light,141.82
2022-01-01,Ahmedabad,Fuel and Light,145.59
2022-02-01,Ahmedabad,Fuel and Light,144.76
2022-03-01,Ahmedabad,Fuel and Light,146.21
2022-04-01,Ahmedabad,Fuel and Light,150.12
2022-05-01,Ahmedabad,Fuel and Light,151.48
2022-06-01,Ahmedabad,Fuel and Light,148.66
2022-07-01,Ahmedabad,Fuel and Light,148.93
2022-08-01,Ahmedabad,Fuel and Light,147.41
2022-09-01,Ahmedabad,Fuel and Light,145.88
2022-10-01,Ahmedabad,Fuel and Light,146.51
2022-11-01,Ahmedabad,Fuel and Light,145.29
2022-12-01,Ahmedabad,Fuel and Light,145.8
2023-01-01,Ahmedabad,Fuel and Light,145.08
2023-02-01,Ahmedabad,Fuel and Light,147.56
2023-03-01,Ahmedabad,Fuel and Light,147.58
2023-04-01,Ahmedabad,Fuel and Light,145.06
2023-05-01,Ahmedabad,Fuel and Light,144.08
2023-06-01,Ahmedabad,Fuel and Light,148.4
2023-07-01,Ahmedabad,Fuel and Light,148.46
2023-08-01,Ahmedabad,Fuel and Light,148.15
2023-09-01,Ahmedabad,Fuel and Light,153.86
2023-10-01,Ahmedabad,Fuel and Light,153.3
2023-11-01,Ahmedabad,Fuel and Light,158.56
2023-12-01,Ahmedabad,Fuel and Light,161.99
2024-01-01,Ahmedabad,Fuel and Light,163.67
2024-02-01,Ahmedabad,Fuel and Light,162.38
2024-03-01,Ahmedabad,Fuel and Light,163.69
2024-04-01,Ahmedabad,Fuel and Light,164.3
2024-05-01,Ahmedabad,Fuel and Light,167.86
2024-06-01,Ahmedabad,Fuel and Light,170.25
2024-07-01,Ahmedabad,Fuel and Light,172.21
2024-08-01,Ahmedabad,Fuel and Light,175.94
2024-09-01,Ahmedabad,Fuel and Light,176.84
2024-10-01,Ahmedabad,Fuel and Light,180.25
2024-11-01,Ahmedabad,Fuel and Light,178.81
2024-12-01,Ahmedabad,Fuel and Light,180.82
2025-01-01,Ahmedabad,Fuel and Light,183.43
2025-02-01,Ahmedabad,Fuel and Light,183.35
2025-03-01,Ahmedabad,Fuel and Light,180.56
2025-04-01,Ahmedabad,Fuel and Light,183.59
2025-05-01,Ahmedabad,Fuel and Light,185.25
2025-06-01,Ahmedabad,Fuel and Light,184.67
2025-07-01,Ahmedabad,Fuel and Light,185.77
2025-08-01,Ahmedabad,Fuel and Light,183.7
2025-09-01,Ahmedabad,Fuel and Light,184.04
2025-10-01,Ahmedabad,Fuel and Light,186.61
2025-11-01,Ahmedabad,Fuel and Light,188.71
2025-12-01,Ahmedabad,Fuel and Light,191.96
2015-01-01,Ahmedabad,General,100.0
2015-02-01,Ahmedabad,General,100.99
2015-03-01,Ahmedabad,General,101.52
2015-04-01,Ahmedabad,General,101.47
2015-05-01,Ahmedabad,General,101.55
